@relation TWS-2D-v3.3.4-RGB

@attribute original numeric
@attribute Hue numeric
@attribute Saturation numeric
@attribute Brightness numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Difference_of_gaussians_2.0_1.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Difference_of_gaussians_4.0_1.0 numeric
@attribute Difference_of_gaussians_4.0_2.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Difference_of_gaussians_8.0_1.0 numeric
@attribute Difference_of_gaussians_8.0_2.0 numeric
@attribute Difference_of_gaussians_8.0_4.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Difference_of_gaussians_16.0_1.0 numeric
@attribute Difference_of_gaussians_16.0_2.0 numeric
@attribute Difference_of_gaussians_16.0_4.0 numeric
@attribute Difference_of_gaussians_16.0_8.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
196,204,59,216,136.333328,230.333328,245.333328,255,233.666672,147.666672,0.333333,255,255,198,131,224.666672,238.333328,255,228,142.333328,0.333333,255,255,205.666672,104.333336,172,200,255,170,78,1,255,255,0,210,75,50.333332,70.666664,245,41,29.666666,0.333333,255,126.333336,0,0,211,55.666668,59.333332,0,0,30.666666,0,0,255,255,0,0,0,205,38.333332,21.666666,0,0,16.666666,0,0,255,255,0,1.333333,5,5.666667,206,215.666672,196.333328,255,6.333333,208,'class 1'
210,211,33,220,160,226,237.333328,170,226.333328,31,0,255,255,210.333328,156,221,230.333328,170,222,21.666666,0,255,255,213.666672,118.333336,165.666672,146.666672,0,174.333328,0,0,255,255,0,216,75.333336,61.666668,10,0,61,0,0,255,255,0,0,214.666672,50.333332,59.333332,0,0,27.666666,0,0,255,255,0,0,1.333333,208,36.333332,23.666666,0,0,16,0,0,255,255,2.333333,5.333333,7.666667,6.666667,211,222.666672,202,255,6.333333,210.666672,'class 1'
232.333328,4,9,238,126.333336,222.666672,0,0,128,0,0,255,255,231.333328,122.333336,219.333328,0,0,123.666664,0,0,255,255,226.333328,98.333336,204,0,0,97.666664,0,0,255,255,5,222,67,115,0,0,54.666668,0,0,255,255,9.333333,4,218.666672,45,60,0,0,24.333334,0,0,255,255,12.666667,7.666667,3.666667,211.333328,33.666668,25.333334,0,0,15,0,0,255,255,20,15.333333,11.333333,7.333333,216.333328,229,206.333328,255,7.333333,214.666672,'class 1'
232.333328,4,9,238,126.333336,222.666672,0,0,128,0,0,255,255,231.333328,122.333336,219.333328,0,0,123.666664,0,0,255,255,226.333328,98.333336,204,0,0,97.666664,0,0,255,255,5,222,67,115,0,0,54.666668,0,0,255,255,9.333333,4,218.666672,45,60,0,0,24.333334,0,0,255,255,12.666667,7.666667,3.666667,211.333328,33.666668,25.333334,0,0,15,0,0,255,255,20,15.333333,11.333333,7.333333,216.333328,229,206.333328,255,7.333333,214.666672,'class 1'
235,0,9,241,89,255,0,170,4,0,0,255,255,233.666672,89,249,0,170,4.333333,0,0,255,255,228.666672,87,217.666672,0,85,22.333334,0,0,255,255,5.333333,222.666672,66.666664,126,0,0,41.333332,0,0,255,255,11,5.666667,218.333328,45.333332,61.333332,0,0,24.666666,0,0,255,255,15.666667,10,4.333333,211.333328,33.666668,25,0,0,16,0,0,255,255,22.666666,17.333334,11.666667,7.333333,216.333328,229.333328,206.333328,255,7.666667,215.666672,'class 1'
235,0,9,241,89,255,0,170,4,0,0,255,255,233.666672,89,249,0,170,4.333333,0,0,255,255,228.666672,87,217.666672,0,85,22.333334,0,0,255,255,5.333333,222.666672,66.666664,126,0,0,41.333332,0,0,255,255,11,5.666667,218.333328,45.333332,61.333332,0,0,24.666666,0,0,255,255,15.666667,10,4.333333,211.333328,33.666668,25,0,0,16,0,0,255,255,22.666666,17.333334,11.666667,7.333333,216.333328,229.333328,206.333328,255,7.666667,215.666672,'class 1'
235,34,5,237,20.333334,225.333328,0,0,24.333334,0,0,255,255,235,21.666666,223.666672,0,0,22.333334,0,0,255,255,233.333328,36.666668,213.333328,0,0,16.666666,0,0,255,255,1.333333,228.666672,46.333332,156.333328,0,0,22.333334,0,0,255,255,6.333333,5,222.333328,38.333332,63,0,0,19.333334,0,0,255,255,12.333333,11,5.666667,214,30.333334,26.666666,0,0,14.333333,0,0,255,255,20.666666,19.333334,14.333333,8,221,234,211.666672,255,8,220,'class 1'
235,34,5,237,20.333334,225.333328,0,0,24.333334,0,0,255,255,235,21.666666,223.666672,0,0,22.333334,0,0,255,255,233.333328,36.666668,213.333328,0,0,16.666666,0,0,255,255,1.333333,228.666672,46.333332,156.333328,0,0,22.333334,0,0,255,255,6.333333,5,222.333328,38.333332,63,0,0,19.333334,0,0,255,255,12.333333,11,5.666667,214,30.333334,26.666666,0,0,14.333333,0,0,255,255,20.666666,19.333334,14.333333,8,221,234,211.666672,255,8,220,'class 1'
234.666672,0,5,238,72.666664,245.333328,0,85,61.333332,0,0,255,255,234,73,240.666672,0,85,58,0,0,255,255,229.666672,71.666664,216.666672,0,0,41.333332,0,0,255,255,4,224.333328,61.333332,149,0,0,26.333334,0,0,255,255,9.333333,5.333333,219.333328,44.666668,64.666664,0,0,23.333334,0,0,255,255,14.666667,10.333333,5.333333,211.666672,33,25.333334,0,0,16,0,0,255,255,22,18,12.666667,7.333333,217.666672,231,205.666672,255,7.666667,217.333328,'class 1'
234.666672,0,5,238,72.666664,245.333328,0,85,61.333332,0,0,255,255,234,73,240.666672,0,85,58,0,0,255,255,229.666672,71.666664,216.666672,0,0,41.333332,0,0,255,255,4,224.333328,61.333332,149,0,0,26.333334,0,0,255,255,9.333333,5.333333,219.333328,44.666668,64.666664,0,0,23.333334,0,0,255,255,14.666667,10.333333,5.333333,211.666672,33,25.333334,0,0,16,0,0,255,255,22,18,12.666667,7.333333,217.666672,231,205.666672,255,7.666667,217.333328,'class 1'
234.666672,0,5,238,72.666664,245.333328,0,85,61.333332,0,0,255,255,234,73,240.666672,0,85,58,0,0,255,255,229.666672,71.666664,216.666672,0,0,41.333332,0,0,255,255,4,224.333328,61.333332,149,0,0,26.333334,0,0,255,255,9.333333,5.333333,219.333328,44.666668,64.666664,0,0,23.333334,0,0,255,255,14.666667,10.333333,5.333333,211.666672,33,25.333334,0,0,16,0,0,255,255,22,18,12.666667,7.333333,217.666672,231,205.666672,255,7.666667,217.333328,'class 1'
234.666672,0,5,238,72.666664,245.333328,0,85,61.333332,0,0,255,255,234,73,240.666672,0,85,58,0,0,255,255,229.666672,71.666664,216.666672,0,0,41.333332,0,0,255,255,4,224.333328,61.333332,149,0,0,26.333334,0,0,255,255,9.333333,5.333333,219.333328,44.666668,64.666664,0,0,23.333334,0,0,255,255,14.666667,10.333333,5.333333,211.666672,33,25.333334,0,0,16,0,0,255,255,22,18,12.666667,7.333333,217.666672,231,205.666672,255,7.666667,217.333328,'class 1'
